triggr,aptrig,airpower,icb2,cracno,cracid,systrgmo,systrgda,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,yrtrig,motrig,datrig,trigent,trigloc,southv,southpow,sizedu,strcdu,comlev,majres,yerres,monres,dayres,trgresra,crismg,cenvio,sevvio,usinv,usfavr,suinv,sufavr,gbinv,gbfavr,frinv,frfavr,itinv,itfavr,grinv,grfavr,jpinv,jpfavr,globorg,globact,globfavr,regorg,regact,rofavr,outcom,outfor,outevl,outesr,yrterm,moterm,daterm,trgterra,resterra,actloc,geog,cractloc,noactr,stainsys,period,syslev,pc,pcid,viol,iwc,powdis,powscore,gpinv,powinv,age,territ,regime,durreg,allycap,globmemb,nucler,powsta,issue,chissu,gravty,pethin,col,unemp,inflat,foodpr,labstr,short,econdt,regrep,socunr,massvl,gvinst,sourdt,ccode,year,majpow,logcap,milissue,polissue,econissue,gravty2,violence,violence2,democ,jointdem,crisno,actor,systrgyr,cap,polity2,majpowinv,instability,unrest,demgravity,polgravity,massviol,coldwar,unem2,powerdistr,econstatus,higravty,higravty2,othrfrce,logravty2,logravty3,cap2a,majpow2a,polity2a,milper,milex,energy,irst,upop,tpop,logengy,countryname,countrycode,iso2code,WBgdp,loggdp,logcap2a,logmilex,protrac,dem6,powscore2,time1,time2,time3,time4,airforce,airpossible,outcome,sanct,sanctongoing,econpress,sanctout,anysanct,sanctout2,capdem,cappol,powpol,out2
2,0,0,ICB2,21,365,4,30,BESS,ARAB,IA,,,,1919,4,30,360,1,360,1,9,1,3,8,1919,5,18,19,7,3,3,1,5,9,8,1,5,1,3,1,5,1,5,1,5,2,2,6,0,0,0,4,1,3,2,1920,3,2,308,290,30,31,1,3,49,1,1,1,0,3,1,11,11,7,1,1,3,2,1,4,4,1,3,1,6,3,0,1,1,1,1,1,1,1,1,1,1,1,1,365,1919,0,-2.761973,1,0,0,3,1,1,0,0,10,RUS,1919,0.063167,-1,0,1,1,0,-3,1,0,1,11,1,1,0,0,0,0,0.063166,0,-1,1550,1417699,14673,199,3566,142265,9.593764,,,,,,-2.761989,14.16455,0,0,11,1919,0,0,0,1912,1,0,0,0,0,0,0,,0,-0.063166,-11,0
2,0,0,ICB2,22,360,4,30,BESS,ARAB,IA,,,,1919,5,1,365,1,365,3,9,1,3,9,1919,5,19,19,7,3,3,1,5,8,3,1,5,1,1,1,5,1,5,1,5,2,2,6,0,0,0,1,1,2,2,1920,3,2,307,289,31,31,1,3,49,1,1,1,0,3,1,-11,-11,7,1,3,2,2,3,1,4,1,1,1,6,3,0,9,3,1,1,9,1,1,9,1,9,1,1,360,1919,0,-4.9309,1,0,0,3,1,1,0,0,10,RUM,1919,0.00722,-4,0,1,1,0,-12,,0,3,-11,1,1,0,0,0,0,0.00722,0,-4,292,24568,2518,25,868,9722,7.83122,,,,,,-4.9309,10.1092,0,0,-11,1919,0,0,0,1913,1,0,0,0,0,0,0,,0,-0.02888,44,0
7,0,0,ICB2,23,640,11,99,CILI,CIAN,WAR,,,,1919,11,99,220,1,220,3,2,4,3,8,1920,1,20,81,7,4,4,1,5,8,1,8,3,8,3,1,6,1,5,1,5,2,2,6,0,0,0,1,1,1,2,1921,10,20,719,638,15,15,1,7,49,1,1,1,0,4,1,-9,-9,7,1,1,2,4,1,2,4,1,2,1,6,3,1,1,9,1,1,9,9,1,2,1,1,1,3,640,1919,0,-5.14594,1,0,0,3,1,1,,0,11,TUR,1919,0.005823,,1,1,1,,,1,0,,-9,1,1,0,1,0,0,0.005823,0,,129,33528,561,0,694,18997,6.329721,,,,,,-5.14594,10.42014,0,,-9,1919,0,0,0,1944,0,2,0,0,0,3,0,3,,,,2
9,0,0,ICB2,24,220,11,99,CILI,CIAN,WAR,,,,1920,1,20,640,1,640,2,9,9,4,8,1920,1,20,1,7,4,4,1,5,8,3,8,1,9,8,1,5,1,5,1,5,2,2,6,0,0,0,4,1,1,2,1921,10,20,639,639,33,15,4,3,59,1,1,1,0,4,1,9,9,7,1,1,2,1,3,1,2,1,3,2,6,4,0,1,3,1,1,1,1,1,9,9,2,2,3,220,1919,1,-2.791617,0,1,0,4,1,1,1,0,11,FRN,1919,0.061322,9,1,2,,4,36,2,0,3,9,1,1,0,1,0,0,0.061322,1,9,2364,634729,44334,1293,5889,31970,10.69951,,,,,,-2.791617,13.36095,0,1,9,1919,0,0,0,1909,1,2,0,0,0,3,0,3,0.061322,0.551898,81,2
8,0,0,ICB2,25,220,4,3,RHEN,ISH,REBE,LLIO,NS,,1920,4,3,255,1,255,2,9,1,2,6,1920,4,6,4,6,1,1,3,3,1,5,3,3,9,8,3,3,8,3,3,2,2,2,6,0,0,0,1,6,2,1,1920,4,24,22,18,33,33,2,7,59,1,1,2,18,1,1,3,3,6,1,1,2,1,3,4,2,1,3,1,6,4,0,1,3,1,1,1,1,1,9,9,2,2,2,220,1920,1,-2.8443,1,0,0,4,0,0,1,1,12,FRN,1920,0.058175,9,1,2,,4,36,2,0,3,3,1,1,0,0,0,0,0.058175,1,9,1457,361910,58353,2706,5940,39000,10.97427,,,,,,-2.8443,12.79915,1,1,3,1920,0,0,0,1909,1,0,0,0,0,0,0,,0.058175,0.523575,27,0
7,0,0,ICB2,26,255,4,3,RHEN,ISH,REBE,LLIO,NS,,1920,4,6,220,1,220,3,9,1,4,3,1920,4,6,1,1,1,1,3,1,1,5,3,1,8,3,3,1,9,8,3,1,2,2,7,0,0,0,1,6,9,1,1920,5,17,42,42,32,33,1,7,59,1,1,2,18,2,1,-3,-3,6,1,3,2,1,1,1,4,1,2,2,6,2,0,1,1,1,1,1,1,1,1,1,1,2,2,255,1920,0,-2.630798,0,1,0,2,0,0,0,1,12,GMY,1920,0.072021,6,1,2,1,0,12,1,0,1,-3,1,0,0,0,0,1,0.072021,0,6,114,79025,138844,9278,15381,61694,11.84111,,,,,,-2.630798,11.27752,1,1,-3,1920,0,0,0,1916,1,0,0,0,0,0,0,0,0.072021,0.432126,-18,0
9,0,0,ICB2,27,365,4,25,POLI,SH/R,USSI,AN W,AR,,1920,4,25,290,1,290,2,9,1,3,8,1920,5,15,21,8,4,4,1,5,9,8,3,9,7,9,1,9,1,9,1,9,2,2,5,0,0,0,2,1,1,2,1920,10,12,171,150,30,31,2,4,59,1,1,2,21,4,1,8,8,7,1,1,3,2,2,4,4,1,3,1,6,3,0,1,9,1,1,3,1,1,1,1,1,3,3,365,1920,0,-2.271077,1,0,0,3,1,1,0,0,13,RUS,1920,0.103201,-1,0,3,1,0,-3,1,0,,8,1,1,0,1,0,0,0.103201,0,-1,3050,1183426,13063,194,4031,139675,9.477539,,,,,,-2.271077,13.98392,1,0,8,1920,0,0,0,1912,1,2,0,0,0,3,0,3,0,-0.103201,-8,2
9,0,1,ICB2,28,290,4,25,POLI,SH/R,USSI,AN W,AR,,1920,5,15,365,1,365,3,9,1,2,8,1920,8,15,93,8,4,4,1,5,8,3,3,9,7,9,1,9,1,9,1,9,2,2,6,0,0,0,1,1,1,2,1920,10,12,151,58,31,31,2,4,59,1,1,2,21,4,7,-8,-8,7,1,3,2,4,1,2,2,1,2,1,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3,290,1920,0,-3.605826,1,0,0,6,1,1,1,0,13,POL,1920,0.027165,8,0,,,6,48,4,0,4,-8,,1,1,1,0,0,0.027165,0,8,962,13545,35850,981,1760,26746,10.4871,,,,,,-3.605826,9.513773,1,1,-8,1920,0,0,0,1918,1,3,0,0,0,3,0,3,0.027165,0.21732,-64,2
7,0,0,ICB2,29,365,5,66,PERS,IAN,BORD,ER,,,1920,5,66,996,1,200,3,3,1,3,8,1920,5,18,7,7,3,3,3,3,9,8,8,3,8,3,1,5,3,1,1,5,6,3,2,0,0,0,2,1,1,2,1921,2,26,302,271,30,15,2,6,59,1,1,2,25,2,1,999,999,7,1,1,3,2,1,4,4,1,3,1,6,2,1,1,9,1,1,3,1,1,1,1,1,3,3,365,1920,0,-2.271077,1,0,0,2,1,1,0,0,14,RUS,1920,0.103201,-1,0,3,1,0,-2,1,0,,,1,0,0,0,0,1,0.103201,0,-1,3050,1183426,13063,194,4031,139675,9.477539,,,,,,-2.271077,13.98392,1,0,,1920,0,0,0,1912,1,0,0,0,0,0,0,,0,-0.103201,,0
9,0,0,ICB2,30,630,5,99,PERS,IAN,BORD,ER,,,1920,5,18,365,1,365,3,9,1,3,3,1920,10,25,161,7,2,2,3,1,8,3,7,3,7,1,1,5,3,3,1,5,6,3,4,0,0,0,1,1,1,2,1921,2,26,285,125,15,15,1,6,59,1,1,2,29,2,1,999,999,7,1,1,3,2,2,2,2,1,2,1,6,3,0,9,9,2,3,9,9,9,9,9,1,2,2,630,1920,0,-5.648442,1,0,0,3,1,0,0,0,14,IRN,1920,0.003523,0,0,2,,0,0,1,0,,,,1,0,0,0,0,0.003523,0,0,40,,320,0,556,11370,5.768321,,,,,,-5.648442,,1,0,,1920,0,0,0,1920,1,0,0,0,0,0,0,,0,0,,0
