,wikidata_name,wikidata_id,lat,lon,urban,forested,mountainous
56,Battle of Sayyd Alma Kalay,Q4872330,31.7113013,65.6775565,0,0,1
57,Battle of Tora Bora,Q2237280,34.1718313,70.6216794,0,0,1
58,Operation Enduring Freedom – Philippines,Q2631285,12.879721,121.774017,0,0,0
59,Oruzgan police station attack of January 2002,Q7105180,32.9271287,66.1415263,0,0,1
60,Battle of Takur Ghar,Q4872492,33.33333206,69.19999695,0,0,1
61,Operation Harpoon (2002),Q2396979,33.706199,69.3831079,0,0,1
62,Tarnak Farm incident,Q2783811,31.628871,65.7371749,2,0,1
63,Operation Southern Focus,Q2739563,31.1042292,46.3624686,0,0,0
64,Operation Mongoose (2003),Q65076683,31.3169444,66.3286111,0,0,1
65,Operation Eagle Fury,Q7097022,31.3636474,63.9586111,0,0,1
66,2003 Lejay firefight,Q4601543,31.3636474,63.9586111,0,0,1
67,Operation Valiant Strike,Q7097684,31.628871,65.7371749,2,0,1
68,Battle of Al Faw (2003),Q1930510,29.9811696,48.4675659,1,0,0
69,Battle of Umm Qasr,Q2237268,30.0397683,47.9267674,1,0,0
70,Battle of Basra (2003),Q2585300,30.5257657,47.773797,2,0,0
71,Battle of Karbala (2003),Q4178089,32.6027147,44.0196987,2,0,0
72,Battle of Nasiriyah,Q718851,31.0510427,46.2569178,2,0,0
73,Battle of Najaf (2003),Q2068122,32.0106646,44.3265272,2,0,0
74,2003 attack on Karbala,Q4276950,32.6027147,44.0196987,2,0,0
75,Operation Viking Hammer,Q1678616,35.1654999,45.9896078,1,0,1
76,Battle of Samawah (2003),Q4872256,31.3188393,45.2806177,2,0,0
77,Battle of Haditha Dam,Q40889886,34.206944,42.355,2,0,0
78,Battle of the Karbala Gap (2003),Q2888908,32.6027147,44.0196987,2,0,0
79,Battle of Baghdad (2003),Q1804983,33.315241,44.3660671,2,0,0
80,Battle of Al Kut (2003),Q18639484,32.5164908,45.8160287,2,0,0
81,Battle of Debecka Pass,Q4870854,35.88426208,43.78376389,0,0,0
82,Operation Airborne Dragon,Q7096734,36.516667,44.333333,0,0,1
83,Operation Planet X,Q7097399,31.9966212,44.3164007,2,0,0
84,Operation Peninsula Strike,Q4335239,34.0076216,44.148291,2,0,0
85,Operation Desert Scorpion (Iraq 2003),Q7096982,33.223191,43.679291,0,0,0
86,Operation Haven Denial,Q7097122,32.5,68.80000305,0,0,1
87,Operation Warrior Sweep,Q7097704,33.706199,69.3831079,0,0,1
88,2003 Mosul raid,Q65074171,36.3489278,43.157736,2,0,0
89,Operation Mountain Viper,Q5473413,32.5290274,66.712915,0,0,1
90,Operation Mountain Resolve,Q7097302,36.23333359,71.83333588,0,0,1
91,Operation Iron Hammer (Iraq 2003),Q7097172,33.315241,44.3660671,2,0,0
92,Operation Avalanche (Afghanistan),Q7096775,33.93911,67.709953,0,0,1
93,Operation Bayonet Lightning,Q7096794,35.3248248,43.7669217,2,0,0
94,Operation Bulldog Mammoth,Q7096859,33.297611,44.0817686,2,0,0
95,Operation Iron Justice,Q7097175,33.2818108,44.2289441,2,0,0
96,Operation Panther Squeeze,Q7097371,33.223191,43.679291,0,0,0
97,Operation Red Dawn,Q3780506,34.4377735,43.8004115,2,0,0
98,Operation Ivy Blizzard,Q7097180,34.1660043,43.9055155,2,0,0
99,Battle of Hillah (2003),Q18712789,32.4736266,44.4251904,2,0,0
100,Operation Secure Tomorrow,Q7097528,18.594395,-72.3074326,0,0,1
101,Operation Iron Saber,Q7097177,32.0106646,44.3265272,2,0,0
102,First Battle of Fallujah,Q1537159,33.3443576,43.7812773,2,0,0
103,Siege of Sadr City,Q3486016,33.3899339,44.4606524,2,0,0
104,Battle of Al Kut,Q4870238,32.5164908,45.8160287,2,0,0
105,Battle of Ramadi (2004),Q4872157,33.4366231,43.2682801,2,0,0
106,Battle of BIAP (2004),Q18639119,33.2669849,44.2311414,2,0,0
107,Battle of Husaybah (2004),Q4871257,33.4058544,43.4512361,0,0,0
108,Operation Asbury Park,Q7096764,32.61919403,66.79582977,0,0,1
109,drone attacks in Pakistan,Q1260080,32.667476,69.8597406,0,0,1
110,Insurgency in Khyber Pakhtunkhwa,Q179275,34.9526205,72.331113,0,0,1
111,Operation Phantom Linebacker,Q7097388,33.315241,44.3660671,2,0,0
112,Battle of Najaf (2004),Q2889462,32.0106646,44.3265272,2,0,0
113,Battle of Samarra (2004),Q4087318,34.1660043,43.9055155,2,0,0
114,Second Battle of Fallujah,Q1330136,33.3443576,43.7812773,2,0,0
115,Battle of Mosul (2004),Q4871794,36.3489278,43.157736,2,0,0
116,Operation Plymouth Rock,Q2026278,33.315241,44.3660671,2,0,0
117,Battle of Abu Ghraib,Q4870210,33.297611,44.0817686,2,0,0
118,Operation Badlands,Q7096780,33.3962011,43.7046653,2,0,0
119,Operation Tar Heels,Q7097613,35.98266602,66.08327484,0,0,0
120,Battle of Al-Qa'im,Q1975663,34.22000122,41.05390167,0,0,0
121,Operation Karez,Q1518797,35.1671339,63.7695384,0,0,0
122,Operation Squeeze Play,Q7097575,36.202016,44.019991,2,0,1
123,Operation New Market,Q7097325,34.1251832,42.374164,2,0,0
124,Operation Spear,Q7097569,34.3843134,41.0183205,2,0,0
125,Operation Dagger,Q7096953,36.202016,44.019991,2,0,1
126,Operation Red Wings,Q3354826,34.86972046,70,0,0,1
127,Operation Warrior's Rage,Q7097703,33.315241,44.3660671,2,0,0
128,Operation Marlborough,Q7097269,33.315241,44.3660671,2,0,0
129,Battle of Haditha,Q4871173,34.1251832,42.374164,2,0,0
130,Operation Able Warrior,Q7096725,33.315241,44.3660671,2,0,0
131,Operation Whalers,Q7097713,34.8465893,71.097317,0,0,1
132,Battle of Tal Afar (2005),Q972831,36.3623583,42.4036715,2,0,0
133,Operation Steel Curtain,Q642100,34.3843134,41.0183205,2,0,0
134,Operation Iron Hammer (Iraq 2005),Q7097173,33.6435199,42.8253662,2,0,0
135,Operation Able Rising Force,Q7096724,31.69794464,44.47013855,0,0,0
136,Battle of Nawzad,Q4871922,32.40000153,64.46666718,0,0,1
137,Damadola airstrike,Q3893040,34.8005683,71.466445,0,0,1
138,Battle of Ramadi (2006),Q2889747,33.4366231,43.2682801,2,0,0
139,Operation Swarmer,Q477040,34.18333435,43.86666489,2,0,0
140,Operation Scorpion,Q7097510,35.4666329,44.3798895,2,0,1
141,Friendly fire incident at Sangin,Q2889117,31.3636474,63.9586111,0,0,1
142,Operation Larchwood 4,Q23043314,33.0790908,44.2519564,2,0,0
