row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Ranger Dominance_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rapier Thrust_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rat Trap_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Red Bull_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Red Bull II_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Red Eagle_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Red Light II_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Regular Justice_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Relentless Hunt_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Resolute Sword_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Restore Peace VI_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Restoring Rights_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rifle Sweep_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rifles Blitz_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rifles Fury_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Ripper Sweep_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation River Blitz_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation River Bridge_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation River Gate (Bawwabatu Annaher)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation River Walk_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Roaring Tiger_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rock Bottom_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rock Drill_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rock Hammer_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rock Reaper_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rock Slide_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rocketman_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rocketman III_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rogue Stomp_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rogue Thunder_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rose Bowl_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Rubicon_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Saber Boss_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Saber Turner II_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Safe Neighborhood_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Safety and Security (Fahrad Al Amin)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Salm_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Saloon_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation San Juan_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sand Storm_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Saratoga_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sawlat al-Fursan (Charge of the Knights)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Scales of Justice_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Scimitar_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Scorpion Sting_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Scrimmage_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Seahorse_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sergeant Thea'a_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Shadyville_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Shank(Harba)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Showdown_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sidewinder_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Siegfried Line_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sillelagh_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Silverado_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation SINBAD_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Skinner(Gashshaa)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Slapshot_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Slim Shady_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Smokewagon_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Snake River_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Soda Mountain_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Soprano Sunset_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation SOUK_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Southern Scimitar_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Spartan Scorpion_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Spear (Romhe)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Spider Web_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Spring Break_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Spring Cleanup_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Stallion Run_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sterling_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Stocking Stuffer_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Strategic Separation (al Azil al Sitrateegi)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Street Sweeper II_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Striker Hurricane_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Striker Tornado_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Suicide Kings_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Swamp Fox_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sweeny_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Swift Sword_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Sword (Saif)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Syrian Round-up_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tacoma III_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Talon_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tangerine Pinch_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tangerine Squeeze_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tapeworm_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Therapist_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Three Kings_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Three Swords_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Thunder_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Thundercat_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Thunderstruck_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tiger Clean Sweep_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tiger Fury_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tigers (Numur)_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tinto_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tobruk_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tomahawk_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tomahawk Strike 11_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tomahawk Strike 12_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tombstone Piledriver_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Trailblazer_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Trident IV_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Triple Play_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tropical Lightning_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation True Grit_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Turkey Bowl_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Turki Bowl_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Turki Bowl II_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tuwaitha Sunrise_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tyche Round-up_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Tyr_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Uhaser_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Unforgiven_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Unified Fist_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Unified Front_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Vacant City_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Valdez_,NA
NA,intervention,War on Terror_Q185729,military intervention against ISIL_Q17507684,Operation Inherent Resolve_Q18357664,Iraq conflict (2003–present)_Q47015896,Iraq War_Q545449,2003 invasion of Iraq_Q107802,Operation Vanguard Thunder_,NA
