row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
Package Q Strike_Q7122885,intervention,Gulf War_Q37643,Gulf War air campaign_Q8256467,Package Q Strike_Q7122885,NA,NA,NA,NA,NA
Samurra Air Battle_Q28162754,intervention,Gulf War_Q37643,Gulf War air campaign_Q8256467,Samurra Air Battle_Q28162754,NA,NA,NA,NA,NA
Cruise missile strikes on Iraq_Q1781133,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Cruise missile strikes on Iraq_Q1781133,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Iraqi Kurdish Civil War_Q1154912,NA,NA,NA,NA,NA
NA,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Kurdistan Islamist Conflict_Q6445800,NA,NA,NA,NA,NA
Operation Vigilant Sentinel_Q7097689,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Lead-up to the Iraq War_Q6508337,Operation Vigilant Sentinel_Q7097689,NA,NA,NA,NA
Operation Desert Spring_Q7096978,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Desert Spring_Q7096978,NA,NA,NA,NA,NA
Operation Desert Thunder_Q3354687,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Desert Thunder_Q3354687,NA,NA,NA,NA,NA
Operation Northern Watch_Q2026233,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Northern Watch_Q2026233,NA,NA,NA,NA,NA
Operation Provide Comfort_Q2281470,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Provide Comfort_Q2281470,NA,NA,NA,NA,NA
1993 cruise missile strikes on Iraq_Q5189962,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Southern Watch_Q2026406,1993 cruise missile strikes on Iraq_Q5189962,NA,NA,NA,NA
Bombing of Iraq_Q1327861,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Southern Watch_Q2026406,Bombing of Iraq_Q1327861,NA,NA,NA,NA
January 1993 airstrikes on Iraq_Q105773263,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Southern Watch_Q2026406,January 1993 airstrikes on Iraq_Q105773263,NA,NA,NA,NA
Operation Southern Focus_Q2739563,intervention,Gulf War_Q37643,Iraqi no-fly zones_Q899657,Operation Southern Watch_Q2026406,Operation Southern Focus_Q2739563,NA,NA,NA,NA
