"","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","level_9"
"82","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Kuwait International Airport_Q19428991",NA,NA,NA,NA,NA
"83","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Medina Ridge_Q1634629",NA,NA,NA,NA,NA
"84","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Norfolk_Q3636553",NA,NA,NA,NA,NA
"85","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Phase Line Bullet_Q3636571",NA,NA,NA,NA,NA
"86","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Qurah and Umm al Maradim_Q4872147",NA,NA,NA,NA,NA
"87","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Rumaila_Q4872216",NA,NA,NA,NA,NA
"88","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Battle of Wadi Al-Batin_Q3636251",NA,NA,NA,NA,NA
"89","intervention","Gulf War_Q37643","Liberation of Kuwait campaign_Q6541036","Operation Senior Surprise_Q85790978",NA,NA,NA,NA,NA
"90","intervention","Gulf War_Q37643","Operation Desert Shield_NA",NA,NA,NA,NA,NA,NA
"91","intervention","Iran–Israel proxy conflict_Q15059994",NA,NA,NA,NA,NA,NA,NA
"92","intervention","Libyan Crisis_Q18702324","2011 Libyan Civil War_Q81545","2011 military intervention in Libya_Q210714","Operation Unified Protector_Q3269455",NA,NA,NA,NA
"93","intervention","Libyan Crisis_Q18702324","Libyan civil war (2014–)_Q16911838","American intervention in Libya_Q48731890","2016 Sirte offensive_Q24467647",NA,NA,NA,NA
"94","intervention","Libyan Crisis_Q18702324","Libyan civil war (2014–)_Q16911838","Derna campaign (2014–16)_Q18639765",NA,NA,NA,NA,NA
"95","intervention","Operation Infinite Reach_Q837887",NA,NA,NA,NA,NA,NA,NA
"96","intervention","U.S. raid on the Iranian Liaison Office in Arbil_Q7863480",NA,NA,NA,NA,NA,NA,NA
"97","intervention","War on Terror_Q185729","Insurgency in the Maghreb (2002–)_Q632787","Operation Enduring Freedom – Trans Sahara_Q2602154","2014 American raid in Libya_Q23022941",NA,NA,NA,NA
"98","intervention","War on Terror_Q185729","Insurgency in the Maghreb (2002–)_Q632787","Operation Enduring Freedom – Trans Sahara_Q2602154","December 2017 Chad Basin clash_Q60754741",NA,NA,NA,NA
"99","intervention","War on Terror_Q185729","Insurgency in the Maghreb (2002–)_Q632787","Operation Enduring Freedom – Trans Sahara_Q2602154","Islamist insurgency in Nigeria_Q1569328",NA,NA,NA,NA
"100","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Al-Karmah offensive (2015)_Q19864219",NA,NA,NA
"101","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Anbar campaign (2015–16)_Q22935666","Battle of Fallujah (2016)_Q24205448",NA,NA
"102","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Anbar campaign (2015–16)_Q22935666","Battle of Hit (2016)_Q23403028",NA,NA
"103","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Anbar campaign (2015–16)_Q22935666","Battle of Ramadi (2015–16)_Q21685887",NA,NA
"104","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Anbar offensive_Q22935666","Siege of Fallujah (2016)_Q23137890",NA,NA
"105","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Battle of Mosul (2016–17)_Q27429856","2017 Mosul airstrike_Q29524697",NA,NA
"106","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Battle of Mosul (2016–17)_Q27429856","Western Nineveh offensive (2017)_Q30014900",NA,NA
"107","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Hawija offensive (2017)_Q40532579",NA,NA,NA
"108","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Mosul offensive (2016)_Q23540783",NA,NA,NA
"109","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","November 2015 Sinjar offensive_Q21472342",NA,NA,NA
"110","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Salahuddin campaign_Q19574810","Battle of Baiji (2014–15)_Q17621839",NA,NA
"111","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Salahuddin campaign_Q19574810","Battle of Baiji (October–November 2014)_Q19799151",NA,NA
"112","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Salahuddin campaign_Q19574810","Battle of Tikrit_Q17286795",NA,NA
"113","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Salahuddin campaign_Q19574810","Second Battle of Tikrit_Q19407785",NA,NA
"114","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","American-led intervention in Iraq (2014–present)_Q18159629","Salahuddin campaign_Q19574810","Siege of Amirli_Q17984925",NA,NA
"115","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","2003 attack on Karbala_Q4276950",NA
"116","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Al Faw (2003)_Q1930510",NA
"117","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Al Kut (2003)_Q18639484",NA
"118","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Baghdad (2003)_Q1804983",NA
"119","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Basra (2003)_Q2585300",NA
"120","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Debecka Pass_Q4870854",NA
"121","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Haditha Dam_Q40889886",NA
"122","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Hillah (2003)_Q18712789",NA
"123","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Karbala (2003)_Q4178089",NA
"124","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Najaf (2003)_Q2068122",NA
"125","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Najaf (2007)_Q4871848",NA
"126","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Nasiriyah_Q718851",NA
"127","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Samawah (2003)_Q4872256",NA
"128","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of the Karbala Gap (2003)_Q2888908",NA
"129","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Battle of Umm Qasr_Q2237268",NA
"130","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Objective Buford_",NA
"131","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Abalone_",NA
"132","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Abilene_",NA
"133","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation Agave L_",NA
"134","intervention","War on Terror_Q185729","military intervention against ISIL_Q17507684","Operation Inherent Resolve_Q18357664","Iraq conflict (2003–present)_Q47015896","Iraq War_Q545449","2003 invasion of Iraq_Q107802","Operation al Salam, (Peace)_",NA
