Lashkar-e-Omar,Q1636183,2,3
Lashkar-e-Taiba,Q736955,1,1
Liwa Fatemiyoun,Q19883290,1,2
Liwa Zainebiyoun,Q24043381,1,2
Local anti-coalition militants,NA,1,1
Local militias,NA,1,1
Local Sunni Militias,NA,1,1
Lord's Resistance Army,Q108462,1,1
Mahdi Amry,NA,1,1
Mahdi Army,Q861979,1,1
Mahdi Militia,Q20382097,1,1
Masked Brigade,NA,1,1
Maute group,Q24910076,1,1
Maute Group,Q24910076,1,1
MEK,Q636947,1,1
Militant Groups,NA,1,1
Militia,NA,1,1
MIT,Q25932091,1,1
MKO,Q636947,1,1
MOJWA,Q550108,1,1
Moro Islamic Liberation Front,Q64611,1,1
Moroccan Islamic Combatant Group,Q2357272,1,1
Muaskar Anole,Q6930781,1,1
Mujahideen,Q34490,1,1
Mujahideen Shura,Q2993709,1,1
Mujahideen Shura Council,Q2993709,1,1
Mullah Dadullah Front,Q6934093,1,1
National Revolutionary Front for the Liberation of Haiti,NA,1,1
NDFP,Q3707111,1,1
Nusrat al-ISlam,Q28877411,2,3
OIRAP,Q15980911,1,1
Oromo Liberation Front,Q1153941,1,1
Osbat al-Ansar,Q721306,1,1
other allied groups,NA,1,1
Other Anti-Afghan government forces,NA,1,1
Other insurgent groups and militias,NA,1,1
Other insurgents,NA,1,1
Other Insurgents,NA,1,1
other Iraqi insurgents,NA,1,1
Other Iraqi insurgents,NA,1,1
Other Iraqi Insurgents,NA,1,1
other militias,NA,1,1
Other Sunni insurgents,NA,1,1
Other Sunni insurgents and militia,NA,1,1
Pakistani Taliban,NA,2,3
Palestine,Q219060,2,3
Palestine Liberation Organization,Q26683,1,1
Pirates,NA,1,1
PKK,Q152220,1,2
Political Council for the Iraqi Resistance,NA,1,1
Popular Mobilization Forces,Q19610107,2,3
Popular Resistance in Hasakah,NA,1,2
Popular Resistance in Manbij,NA,1,2
Popular Resistance of the Eastern Region,Q59569823,1,2
possibly Iraqi tribesmen,NA,1,1
Pro-Islamist militias,NA,1,1
Pro-opposition tribes,NA,1,1
Promised Day Brigade,Q7249786,2,3
Promised Day Brigades,Q7249786,2,3
PUK,Q677505,1,1
Quetta Shura,Q1740122,2,3
Rajah Sulaiman movement,Q1168497,1,1
Rajah Sulaiman Movement,Q1168497,1,1
Ras Kamboni Brigades,Q7294660,1,1
rebels,NA,1,1
Reform the Armed Forces Movement,Q7307438,1,1
